Date,Product,Category,Units Sold,Price per Unit,Total Sales
2025-01-03,Wireless Mouse,Electronics,8,25.99,207.92
2025-01-08,Laptop Backpack,Clothing,12,45.50,546.00
2025-01-14,Electric Kettle,Home Appliances,5,32.75,163.75
2025-01-20,Smartphone,Electronics,7,399.99,2799.93
2025-01-25,Office Chair,Furniture,4,120.00,480.00
2025-02-02,LED Desk Lamp,Home Appliances,10,28.50,285.00
2025-02-07,Running Shoes,Clothing,15,75.00,1125.00
2025-02-12,Blender,Home Appliances,6,60.25,361.50
2025-02-19,Wireless Earbuds,Electronics,9,85.99,773.91
2025-02-26,Tablet,Electronics,3,250.00,750.00
2025-03-04,Microwave Oven,Home Appliances,5,150.00,750.00
2025-03-09,Denim Jacket,Clothing,8,65.00,520.00
2025-03-15,Recliner Sofa,Furniture,2,450.00,900.00
2025-03-20,Smartwatch,Electronics,11,199.95,2199.45
2025-03-27,Coffee Maker,Home Appliances,7,89.99,629.93
2025-04-01,Wireless Keyboard,Electronics,10,30.50,305.00
2025-04-07,Winter Coat,Clothing,6,120.00,720.00
2025-04-12,Vacuum Cleaner,Home Appliances,4,199.00,796.00
2025-04-18,Bookshelf,Furniture,3,180.50,541.50
2025-04-25,Noise Cancelling Headphones,Electronics,5,299.00,1495.00
2025-05-02,Blender,Home Appliances,9,59.90,539.10
2025-05-08,Sports Watch,Clothing,8,85.00,680.00
2025-05-13,Electric Kettle,Home Appliances,12,35.75,429.00
2025-05-20,Laptop Backpack,Clothing,10,49.00,490.00
2025-05-26,Smartphone,Electronics,6,420.00,2520.00
2025-06-03,LED Desk Lamp,Home Appliances,15,25.00,375.00
2025-06-08,Wireless Mouse,Electronics,7,27.50,192.50
2025-06-14,Office Chair,Furniture,3,135.00,405.00
2025-06-21,Running Shoes,Clothing,14,80.00,1120.00
2025-06-28,Smartwatch,Electronics,9,210.00,1890.00
2025-07-04,Microwave Oven,Home Appliances,4,155.50,622.00
2025-07-10,Denim Jacket,Clothing,11,68.00,748.00
2025-07-15,Coffee Maker,Home Appliances,6,92.75,556.50
2025-07-22,Noise Cancelling Headphones,Electronics,3,310.00,930.00
2025-07-29,Tablet,Electronics,5,275.00,1375.00
2025-08-05,Bookshelf,Furniture,4,185.00,740.00
2025-08-11,Wireless Keyboard,Electronics,12,29.99,359.88
2025-08-18,Vacuum Cleaner,Home Appliances,5,205.00,1025.00
2025-08-25,Blender,Home Appliances,10,58.50,585.00
2025-09-02,Laptop Backpack,Clothing,13,46.50,604.50
2025-09-08,Smartphone,Electronics,8,410.00,3280.00
2025-09-15,Wireless Earbuds,Electronics,14,90.00,1260.00
2025-09-22,Winter Coat,Clothing,4,125.00,500.00
2025-09-28,Electric Kettle,Home Appliances,7,36.50,255.50
2025-10-04,Office Chair,Furniture,6,140.00,840.00
2025-10-11,Running Shoes,Clothing,12,78.00,936.00
2025-10-18,Smartwatch,Electronics,10,205.00,2050.00
2025-10-26,Microwave Oven,Home Appliances,3,160.00,480.00
2025-11-02,Wireless Mouse,Electronics,15,26.50,397.50
2025-11-08,Recliner Sofa,Furniture,2,460.00,920.00
2025-11-16,LED Desk Lamp,Home Appliances,8,27.75,222.00
